Year	Macroarea	Country	Medals
1960	South Asia	Pakistan	14
1964	South Asia	Pakistan	16
1968	South Asia	Pakistan	13
1972	South Asia	Pakistan	15
1976	South Asia	Pakistan	16
1984	South Asia	Pakistan	16
1988	South Asia	Pakistan	1
1992	South Asia	Pakistan	16
1948	Latin America and the Caribbean	Panama	2
2008	Latin America and the Caribbean	Panama	1
2004	Latin America and the Caribbean	Paraguay	17
1948	Latin America and the Caribbean	Peru	1
1984	Latin America and the Caribbean	Peru	1
1988	Latin America and the Caribbean	Peru	12
1992	Latin America and the Caribbean	Peru	1
1928	Southeast Asia	Philippines	1
1932	Southeast Asia	Philippines	3
1936	Southeast Asia	Philippines	1
1964	Southeast Asia	Philippines	1
1988	Southeast Asia	Philippines	1
1992	Southeast Asia	Philippines	1
1996	Southeast Asia	Philippines	1
1924	Eastern Europe	Poland	5
1928	Eastern Europe	Poland	18
1932	Eastern Europe	Poland	19
1936	Eastern Europe	Poland	9
1948	Eastern Europe	Poland	1
1952	Eastern Europe	Poland	4
1956	Eastern Europe	Poland	19
1960	Eastern Europe	Poland	30
1964	Eastern Europe	Poland	48
1968	Eastern Europe	Poland	37
1972	Eastern Europe	Poland	46
1976	Eastern Europe	Poland	73
1980	Eastern Europe	Poland	50
1988	Eastern Europe	Poland	21
1992	Eastern Europe	Poland	42
1996	Eastern Europe	Poland	21
2000	Eastern Europe	Poland	24
2004	Eastern Europe	Poland	12
2008	Eastern Europe	Poland	20
2012	Eastern Europe	Poland	12
1924	Southern Europe	Portugal	3
1936	Southern Europe	Portugal	3
1948	Southern Europe	Portugal	5
1952	Southern Europe	Portugal	2
1960	Southern Europe	Portugal	2
1976	Southern Europe	Portugal	2
1984	Southern Europe	Portugal	3
1988	Southern Europe	Portugal	1
1996	Southern Europe	Portugal	3
2000	Southern Europe	Portugal	2
2004	Southern Europe	Portugal	3
2008	Southern Europe	Portugal	2
2012	Southern Europe	Portugal	2
1948	Latin America and the Caribbean	Puerto Rico	1
1976	Latin America and the Caribbean	Puerto Rico	1
1984	Latin America and the Caribbean	Puerto Rico	2
1992	Latin America and the Caribbean	Puerto Rico	1
1996	Latin America and the Caribbean	Puerto Rico	1
2012	Latin America and the Caribbean	Puerto Rico	2
1992	Western Asia	Qatar	1
2000	Western Asia	Qatar	1
2012	Western Asia	Qatar	2
1924	Eastern Europe	Romania	23
1936	Eastern Europe	Romania	2
1952	Eastern Europe	Romania	4
1956	Eastern Europe	Romania	19
1960	Eastern Europe	Romania	15
1964	Eastern Europe	Romania	16
1968	Eastern Europe	Romania	23
1972	Eastern Europe	Romania	40
1976	Eastern Europe	Romania	55
1980	Eastern Europe	Romania	72
1984	Eastern Europe	Romania	106
1988	Eastern Europe	Romania	51
1992	Eastern Europe	Romania	53
1996	Eastern Europe	Romania	38
2000	Eastern Europe	Romania	46
2004	Eastern Europe	Romania	39
2008	Eastern Europe	Romania	22
2012	Eastern Europe	Romania	16
1996	Eastern Europe	Russia	115
2000	Eastern Europe	Russia	188
2004	Eastern Europe	Russia	192
2008	Eastern Europe	Russia	143
2012	Eastern Europe	Russia	130
1908	Eastern Europe	Russian Empire	3
1912	Eastern Europe	Russian Empire	14
2000	Western Asia	Saudi Arabia	2
2012	Western Asia	Saudi Arabia	4
1988	Sub-Saharan Africa	Senegal	1
2008	Southern Europe	Serbia	15
2012	Southern Europe	Serbia	16
2004	Southern Europe	Serbia and Montenegro	14
1960	Southeast Asia	Singapore	1
2008	Southeast Asia	Singapore	3
2012	Southeast Asia	Singapore	4
1996	Eastern Europe	Slovakia	3
2000	Eastern Europe	Slovakia	6
2004	Eastern Europe	Slovakia	10
2008	Eastern Europe	Slovakia	10
2012	Eastern Europe	Slovakia	5
1992	Southern Europe	Slovenia	6
1996	Southern Europe	Slovenia	2
2000	Southern Europe	Slovenia	3
2004	Southern Europe	Slovenia	5
2008	Southern Europe	Slovenia	5
2012	Southern Europe	Slovenia	5
1908	Sub-Saharan Africa	South Africa	2
1912	Sub-Saharan Africa	South Africa	7
1920	Sub-Saharan Africa	South Africa	21
1924	Sub-Saharan Africa	South Africa	3
1928	Sub-Saharan Africa	South Africa	6
1932	Sub-Saharan Africa	South Africa	5
1936	Sub-Saharan Africa	South Africa	1
1948	Sub-Saharan Africa	South Africa	4
1952	Sub-Saharan Africa	South Africa	14
1956	Sub-Saharan Africa	South Africa	7
1960	Sub-Saharan Africa	South Africa	3
1992	Sub-Saharan Africa	South Africa	3
1996	Sub-Saharan Africa	South Africa	5
2000	Sub-Saharan Africa	South Africa	5
2004	Sub-Saharan Africa	South Africa	10
2008	Sub-Saharan Africa	South Africa	1
2012	Sub-Saharan Africa	South Africa	9
1948	East Asia	South Korea	2
1952	East Asia	South Korea	2
1956	East Asia	South Korea	2
1964	East Asia	South Korea	3
1968	East Asia	South Korea	2
1972	East Asia	South Korea	1
1976	East Asia	South Korea	17
1984	East Asia	South Korea	42
1988	East Asia	South Korea	77
1992	East Asia	South Korea	49
1996	East Asia	South Korea	66
2000	East Asia	South Korea	73
2004	East Asia	South Korea	52
2008	East Asia	South Korea	78
2012	East Asia	South Korea	63
1952	Eastern Europe	Soviet Union	117
1956	Eastern Europe	Soviet Union	169
1960	Eastern Europe	Soviet Union	169
1964	Eastern Europe	Soviet Union	174
1968	Eastern Europe	Soviet Union	188
1972	Eastern Europe	Soviet Union	211
1976	Eastern Europe	Soviet Union	285
1980	Eastern Europe	Soviet Union	442
1988	Eastern Europe	Soviet Union	294
1900	Southern Europe	Spain	2
1920	Southern Europe	Spain	24
1928	Southern Europe	Spain	3
1932	Southern Europe	Spain	1
1948	Southern Europe	Spain	3
1952	Southern Europe	Spain	1
1960	Southern Europe	Spain	14
1972	Southern Europe	Spain	1
1976	Southern Europe	Spain	6
1980	Southern Europe	Spain	24
1984	Southern Europe	Spain	19
1988	Southern Europe	Spain	5
1992	Southern Europe	Spain	66
1996	Southern Europe	Spain	67
2000	Southern Europe	Spain	43
2004	Southern Europe	Spain	27
2008	Southern Europe	Spain	71
2012	Southern Europe	Spain	65
1948	South Asia	Sri Lanka	1
2000	South Asia	Sri Lanka	1
2008	Sub-Saharan Africa	Sudan	1
1988	Latin America and the Caribbean	Suriname	1
1992	Latin America and the Caribbean	Suriname	1
1900	Northern Europe	Sweden	1
1908	Northern Europe	Sweden	98
1912	Northern Europe	Sweden	173
1920	Northern Europe	Sweden	146
1924	Northern Europe	Sweden	80
1928	Northern Europe	Sweden	36
1932	Northern Europe	Sweden	31
1936	Northern Europe	Sweden	34
1948	Northern Europe	Sweden	73
1952	Northern Europe	Sweden	70
1956	Northern Europe	Sweden	34
1960	Northern Europe	Sweden	7
1964	Northern Europe	Sweden	15
1968	Northern Europe	Sweden	9
1972	Northern Europe	Sweden	21
1976	Northern Europe	Sweden	10
1980	Northern Europe	Sweden	18
1984	Northern Europe	Sweden	32
1988	Northern Europe	Sweden	16
1992	Northern Europe	Sweden	35
1996	Northern Europe	Sweden	31
2000	Northern Europe	Sweden	32
2004	Northern Europe	Sweden	12
2008	Northern Europe	Sweden	7
2012	Northern Europe	Sweden	23
1896	Western Europe	Switzerland	3
1900	Western Europe	Switzerland	15
1904	Western Europe	Switzerland	2
1920	Western Europe	Switzerland	29
1924	Western Europe	Switzerland	65
1928	Western Europe	Switzerland	29
1932	Western Europe	Switzerland	1
1936	Western Europe	Switzerland	47
1948	Western Europe	Switzerland	32
1952	Western Europe	Switzerland	33
1956	Western Europe	Switzerland	3
1960	Western Europe	Switzerland	11
1964	Western Europe	Switzerland	6
1968	Western Europe	Switzerland	13
1972	Western Europe	Switzerland	8
1976	Western Europe	Switzerland	10
1980	Western Europe	Switzerland	2
1984	Western Europe	Switzerland	15
1988	Western Europe	Switzerland	8
1992	Western Europe	Switzerland	1
1996	Western Europe	Switzerland	11
2000	Western Europe	Switzerland	14
2004	Western Europe	Switzerland	7
2008	Western Europe	Switzerland	11
2012	Western Europe	Switzerland	4
1984	Western Asia	Syria	1
1996	Western Asia	Syria	1
2004	Western Asia	Syria	1
2008	Central Asia	Tajikistan	2
2012	Central Asia	Tajikistan	1
1980	Sub-Saharan Africa	Tanzania	2
1976	Southeast Asia	Thailand	1
1984	Southeast Asia	Thailand	1
1988	Southeast Asia	Thailand	1
1992	Southeast Asia	Thailand	1
1996	Southeast Asia	Thailand	2
2000	Southeast Asia	Thailand	3
2004	Southeast Asia	Thailand	8
2008	Southeast Asia	Thailand	4
2012	Southeast Asia	Thailand	4
2008	Sub-Saharan Africa	Togo	1
1996	Polynesia	Tonga	1
1948	Latin America and the Caribbean	Trinidad and Tobago	1
1952	Latin America and the Caribbean	Trinidad and Tobago	2
1964	Latin America and the Caribbean	Trinidad and Tobago	6
1976	Latin America and the Caribbean	Trinidad and Tobago	1
1996	Latin America and the Caribbean	Trinidad and Tobago	2
2000	Latin America and the Caribbean	Trinidad and Tobago	2
2004	Latin America and the Caribbean	Trinidad and Tobago	1
2008	Latin America and the Caribbean	Trinidad and Tobago	5
2012	Latin America and the Caribbean	Trinidad and Tobago	10
1964	North Africa	Tunisia	2
1968	North Africa	Tunisia	2
1972	North Africa	Tunisia	1
1996	North Africa	Tunisia	1
2008	North Africa	Tunisia	1
2012	North Africa	Tunisia	3
1936	Western Asia	Turkey	2
1948	Western Asia	Turkey	12
1952	Western Asia	Turkey	3
1956	Western Asia	Turkey	7
1960	Western Asia	Turkey	9
1964	Western Asia	Turkey	6
1968	Western Asia	Turkey	2
1972	Western Asia	Turkey	1
1984	Western Asia	Turkey	3
1988	Western Asia	Turkey	2
1992	Western Asia	Turkey	6
1996	Western Asia	Turkey	6
2000	Western Asia	Turkey	5
2004	Western Asia	Turkey	10
2008	Western Asia	Turkey	8
2012	Western Asia	Turkey	4
1968	Sub-Saharan Africa	Uganda	2
1972	Sub-Saharan Africa	Uganda	2
1980	Sub-Saharan Africa	Uganda	1
1996	Sub-Saharan Africa	Uganda	1
2012	Sub-Saharan Africa	Uganda	1
1996	Eastern Europe	Ukraine	34
2000	Eastern Europe	Ukraine	35
2004	Eastern Europe	Ukraine	48
2008	Eastern Europe	Ukraine	31
2012	Eastern Europe	Ukraine	25
2004	Western Asia	United Arab Emirates	1
1896	Northern America	United States	20
1900	Northern America	United States	55
1904	Northern America	United States	394
1908	Northern America	United States	63
1912	Northern America	United States	101
1920	Northern America	United States	193
1924	Northern America	United States	198
1928	Northern America	United States	84
1932	Northern America	United States	181
1936	Northern America	United States	92
1948	Northern America	United States	148
1952	Northern America	United States	130
1956	Northern America	United States	175
1960	Northern America	United States	200
1964	Northern America	United States	265
1968	Northern America	United States	149
1972	Northern America	United States	155
1976	Northern America	United States	155
1984	Northern America	United States	333
1988	Northern America	United States	193
1992	Northern America	United States	224
1996	Northern America	United States	260
2000	Northern America	United States	248
2004	Northern America	United States	264
2008	Northern America	United States	315
2012	Northern America	United States	250
1924	Latin America and the Caribbean	Uruguay	22
1928	Latin America and the Caribbean	Uruguay	22
1932	Latin America and the Caribbean	Uruguay	1
1948	Latin America and the Caribbean	Uruguay	3
1952	Latin America and the Caribbean	Uruguay	14
1956	Latin America and the Caribbean	Uruguay	12
1964	Latin America and the Caribbean	Uruguay	1
2000	Latin America and the Caribbean	Uruguay	1
1996	Central Asia	Uzbekistan	2
2000	Central Asia	Uzbekistan	4
2004	Central Asia	Uzbekistan	5
2008	Central Asia	Uzbekistan	6
2012	Central Asia	Uzbekistan	3
1952	Latin America and the Caribbean	Venezuela	1
1960	Latin America and the Caribbean	Venezuela	1
1968	Latin America and the Caribbean	Venezuela	1
1976	Latin America and the Caribbean	Venezuela	1
1980	Latin America and the Caribbean	Venezuela	1
1984	Latin America and the Caribbean	Venezuela	3
2004	Latin America and the Caribbean	Venezuela	2
2008	Latin America and the Caribbean	Venezuela	1
2012	Latin America and the Caribbean	Venezuela	1
2000	Southeast Asia	Vietnam	1
2008	Southeast Asia	Vietnam	1
1988	Latin America and the Caribbean	Virgin Islands	1
1968	Western Europe	West Germany	49
1972	Western Europe	West Germany	96
1976	Western Europe	West Germany	75
1984	Western Europe	West Germany	157
1988	Western Europe	West Germany	113
1924	Southern Europe	Yugoslavia	2
1928	Southern Europe	Yugoslavia	12
1936	Southern Europe	Yugoslavia	1
1948	Southern Europe	Yugoslavia	16
1952	Southern Europe	Yugoslavia	24
1956	Southern Europe	Yugoslavia	23
1960	Southern Europe	Yugoslavia	17
1964	Southern Europe	Yugoslavia	15
1968	Southern Europe	Yugoslavia	29
1972	Southern Europe	Yugoslavia	18
1976	Southern Europe	Yugoslavia	19
1980	Southern Europe	Yugoslavia	57
1984	Southern Europe	Yugoslavia	87
1988	Southern Europe	Yugoslavia	63
1996	Southern Europe	Yugoslavia	26
2000	Southern Europe	Yugoslavia	26
1984	Sub-Saharan Africa	Zambia	1
1996	Sub-Saharan Africa	Zambia	1
1980	Sub-Saharan Africa	Zimbabwe	16
2004	Sub-Saharan Africa	Zimbabwe	3
2008	Sub-Saharan Africa	Zimbabwe	4
