Action type	Shot type	Shot zone	Shot distance	X	Y	SHOT_MADE_FLAG
Layup Shot	2PT Field Goal	Restricted Area	1	13	5	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	9	89	16	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-111	234	0
Jump Shot	3PT Field Goal	Right Corner 3	24	231	70	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	-51	43	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	10	-107	23	0
Fadeaway Jump Shot	2PT Field Goal	Restricted Area	3	-33	16	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	64	243	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-88	248	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	1	-16	8	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	2	7	1
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	12	-50	112	0
Jump Shot	3PT Field Goal	Above the Break 3	27	-119	243	0
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	5	-1	52	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-133	217	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	11	16	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	21	-115	181	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	18	21	179	1
Driving Layup Shot	2PT Field Goal	Restricted Area	3	19	32	0
Alley Oop Layup shot	2PT Field Goal	Restricted Area	0	-2	9	1
Turnaround Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	29	61	0
Running Layup Shot	2PT Field Goal	Restricted Area	3	11	35	0
Jump Shot	3PT Field Goal	Above the Break 3	26	40	257	0
Layup Shot	2PT Field Goal	Restricted Area	3	22	25	0
Putback Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	-9	40	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	8	20	1
Running Dunk Shot	2PT Field Goal	Restricted Area	1	-3	19	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	2	11	19	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	2	15	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	3	3	30	1
Turnaround Jump Shot	2PT Field Goal	Mid-Range	15	47	143	0
Running Dunk Shot	2PT Field Goal	Restricted Area	1	-6	8	1
Running Pull-Up Jump Shot	3PT Field Goal	Above the Break 3	24	-85	232	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-13	262	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	10	38	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-14	18	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	9	16	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	17	96	143	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	2	11	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-104	235	1
Jump Shot	3PT Field Goal	Above the Break 3	28	83	274	0
Jump Shot	3PT Field Goal	Above the Break 3	26	139	220	0
Floating Jump shot	2PT Field Goal	Restricted Area	1	7	14	1
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	9	-25	89	1
Driving Floating Jump Shot	2PT Field Goal	Restricted Area	3	11	36	1
Jump Shot	2PT Field Goal	Mid-Range	20	192	63	1
Jump Shot	2PT Field Goal	Mid-Range	20	77	185	1
Hook Shot	2PT Field Goal	Restricted Area	2	-18	19	0
Layup Shot	2PT Field Goal	Restricted Area	2	7	24	0
Jump Shot	3PT Field Goal	Above the Break 3	27	-160	222	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	21	-116	185	1
Jump Shot	2PT Field Goal	Mid-Range	19	-88	178	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-3	260	0
Pullup Jump shot	2PT Field Goal	Mid-Range	21	-70	201	0
Running Dunk Shot	2PT Field Goal	Restricted Area	1	2	18	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	16	6	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-99	253	1
Driving Bank Hook Shot	2PT Field Goal	Restricted Area	0	8	1	1
Layup Shot	2PT Field Goal	Restricted Area	3	31	16	0
Jump Shot	3PT Field Goal	Above the Break 3	25	160	201	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	2	17	1
Running Layup Shot	2PT Field Goal	Restricted Area	0	-5	7	0
Turnaround Jump Shot	2PT Field Goal	Mid-Range	17	-121	127	1
Jump Shot	3PT Field Goal	Above the Break 3	26	54	260	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	-72	251	0
Jump Shot	2PT Field Goal	Mid-Range	22	-164	152	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	2	-2	23	1
Step Back Jump shot	2PT Field Goal	Mid-Range	19	-65	181	0
Layup Shot	2PT Field Goal	Restricted Area	1	11	11	1
Jump Shot	3PT Field Goal	Above the Break 3	27	104	250	0
Driving Hook Shot	2PT Field Goal	Restricted Area	1	3	17	1
Turnaround Hook Shot	2PT Field Goal	Restricted Area	2	13	26	1
Running Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	-55	36	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	11	11	1
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	14	43	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	8	16	1
Jump Shot	3PT Field Goal	Above the Break 3	27	143	232	1
Running Layup Shot	2PT Field Goal	Restricted Area	2	8	19	1
Jump Shot	3PT Field Goal	Above the Break 3	35	-103	339	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	28	-68	276	1
Cutting Layup Shot	2PT Field Goal	Restricted Area	2	-3	25	1
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	16	161	21	1
Jump Shot	3PT Field Goal	Above the Break 3	24	-215	125	1
Driving Floating Jump Shot	2PT Field Goal	Mid-Range	13	121	69	0
Pullup Jump shot	2PT Field Goal	Mid-Range	17	-108	142	0
Jump Shot	3PT Field Goal	Above the Break 3	27	191	194	0
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	3	-37	11	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-15	4	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	5	1	59	0
Putback Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	4	-27	37	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	2	-25	6	1
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	2	-20	9	1
Finger Roll Layup Shot	2PT Field Goal	Restricted Area	2	-22	-1	1
Driving Floating Bank Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	-62	10	0
Step Back Jump shot	3PT Field Goal	Left Corner 3	23	-230	51	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	-30	252	1
Step Back Jump shot	3PT Field Goal	Right Corner 3	24	232	73	0
Jump Shot	2PT Field Goal	Mid-Range	20	-168	118	1
Dunk Shot	2PT Field Goal	Restricted Area	1	15	1	1
Jump Shot	3PT Field Goal	Above the Break 3	28	207	197	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	20	13	1
Pullup Jump shot	2PT Field Goal	Mid-Range	19	98	167	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	27	-161	223	0
Driving Floating Bank Jump Shot	2PT Field Goal	In The Paint (Non-RA)	5	-18	52	0
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	5	40	36	0
Pullup Jump shot	2PT Field Goal	In The Paint (Non-RA)	8	41	73	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	29	-11	299	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	2	22	18	1
Step Back Jump shot	2PT Field Goal	Mid-Range	17	-132	116	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	-3	7	1
Jump Shot	3PT Field Goal	Above the Break 3	26	55	263	0
Running Layup Shot	2PT Field Goal	Restricted Area	0	-3	1	1
Running Dunk Shot	2PT Field Goal	Restricted Area	1	-6	13	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-20	7	0
Tip Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	0
Turnaround Jump Shot	2PT Field Goal	Mid-Range	17	-68	160	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	3	16	1
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	10	-36	94	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	67	256	0
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	5	-43	26	0
Driving Layup Shot	2PT Field Goal	Restricted Area	0	-8	4	0
Step Back Jump shot	2PT Field Goal	Mid-Range	15	125	83	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	9	6	1
Cutting Dunk Shot	2PT Field Goal	Restricted Area	0	2	-2	1
Running Layup Shot	2PT Field Goal	Restricted Area	0	1	0	1
Jump Shot	3PT Field Goal	Above the Break 3	28	-32	281	0
Driving Floating Bank Jump Shot	2PT Field Goal	Restricted Area	3	22	24	0
Running Layup Shot	2PT Field Goal	Restricted Area	2	-14	19	1
Pullup Jump shot	2PT Field Goal	Mid-Range	21	133	172	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	2	-13	16	1
Running Layup Shot	2PT Field Goal	Restricted Area	3	18	24	0
Floating Jump shot	2PT Field Goal	In The Paint (Non-RA)	6	28	57	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	0	0	8	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	26	30	260	1
Jump Shot	3PT Field Goal	Above the Break 3	28	-204	194	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	14	-136	34	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-29	270	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	17	-96	141	0
Jump Shot	3PT Field Goal	Above the Break 3	28	-159	236	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	16	-159	21	0
Jump Shot	3PT Field Goal	Above the Break 3	27	-160	221	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	2	-7	22	1
Jump Shot	3PT Field Goal	Above the Break 3	28	-83	274	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-166	218	0
Step Back Jump shot	2PT Field Goal	Mid-Range	23	9	235	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	11	95	59	1
Pullup Jump shot	2PT Field Goal	Mid-Range	17	-20	171	1
Alley Oop Layup shot	2PT Field Goal	Restricted Area	3	-26	17	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	27	13	277	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	30	-129	272	0
Running Finger Roll Layup Shot	2PT Field Goal	Restricted Area	3	17	29	1
Cutting Layup Shot	2PT Field Goal	Restricted Area	2	-4	21	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	7	-19	69	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	-127	220	1
Driving Floating Bank Jump Shot	2PT Field Goal	In The Paint (Non-RA)	6	-51	34	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	-1	12	1
Jump Shot	3PT Field Goal	Above the Break 3	28	13	288	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	5	21	53	0
Dunk Shot	2PT Field Goal	Restricted Area	0	-5	8	1
Turnaround Fadeaway shot	2PT Field Goal	In The Paint (Non-RA)	10	-40	97	0
Jump Shot	3PT Field Goal	Above the Break 3	32	-185	267	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	28	-180	215	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	-1	13	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	3	14	1
Jump Shot	3PT Field Goal	Above the Break 3	24	-130	211	0
Dunk Shot	2PT Field Goal	Restricted Area	1	-5	9	0
Jump Shot	3PT Field Goal	Above the Break 3	25	14	256	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-15	279	1
Jump Shot	3PT Field Goal	Above the Break 3	25	202	153	0
Running Dunk Shot	2PT Field Goal	Restricted Area	0	6	6	1
Jump Shot	2PT Field Goal	In The Paint (Non-RA)	7	-3	71	0
Jump Shot	3PT Field Goal	Above the Break 3	31	4	312	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	31	7	0
Layup Shot	2PT Field Goal	Restricted Area	1	9	15	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-9	11	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	11	13	1
Jump Shot	3PT Field Goal	Above the Break 3	26	20	262	0
Jump Shot	2PT Field Goal	Mid-Range	21	-43	210	0
Pullup Jump shot	2PT Field Goal	Mid-Range	21	-48	205	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	29	98	277	0
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	8	-64	59	0
Reverse Layup Shot	2PT Field Goal	Restricted Area	1	-16	6	1
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	11	48	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	6	29	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	12	6	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	11	-4	119	0
Jump Shot	3PT Field Goal	Above the Break 3	28	-131	252	0
Hook Shot	2PT Field Goal	Restricted Area	2	-16	16	0
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	24	36	0
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	5	-27	48	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-3	17	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	19	11	0
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	5	-3	53	0
Reverse Layup Shot	2PT Field Goal	Restricted Area	1	4	15	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	3	18	31	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	33	11	0
Driving Floating Bank Jump Shot	2PT Field Goal	In The Paint (Non-RA)	7	-29	73	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	9	10	1
Jump Shot	2PT Field Goal	In The Paint (Non-RA)	4	35	22	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	174	183	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	3	14	1
Cutting Dunk Shot	2PT Field Goal	Restricted Area	1	5	11	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	1	13	1	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	16	5	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-2	25	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	-62	249	0
Running Dunk Shot	2PT Field Goal	Restricted Area	0	6	7	1
Fadeaway Jump Shot	3PT Field Goal	Above the Break 3	25	-142	207	1
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	10	-62	83	1
Jump Shot	3PT Field Goal	Above the Break 3	25	82	237	0
Layup Shot	2PT Field Goal	Restricted Area	0	6	5	1
Layup Shot	2PT Field Goal	Restricted Area	3	-13	28	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	11	15	0
Putback Layup Shot	2PT Field Goal	Restricted Area	0	2	5	1
Fadeaway Jump Shot	3PT Field Goal	Left Corner 3	22	-226	-6	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	30	-98	288	0
Fadeaway Jump Shot	3PT Field Goal	Above the Break 3	25	79	246	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	3	16	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	0	-3	8	0
Turnaround Jump Shot	2PT Field Goal	In The Paint (Non-RA)	10	67	85	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	5	14	0
Layup Shot	2PT Field Goal	Restricted Area	1	9	14	1
Layup Shot	2PT Field Goal	Restricted Area	2	7	26	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-3	27	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-123	239	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-133	230	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	2	16	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	-13	15	1
Turnaround Jump Shot	2PT Field Goal	Mid-Range	16	-168	21	1
Turnaround Jump Shot	2PT Field Goal	In The Paint (Non-RA)	11	-18	115	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	3	-8	36	0
Turnaround Jump Shot	2PT Field Goal	Mid-Range	16	-166	18	0
Jump Shot	3PT Field Goal	Above the Break 3	25	162	201	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	13	22	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-2	20	0
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	10	39	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-187	186	0
Step Back Jump shot	2PT Field Goal	Mid-Range	17	174	-1	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	2	3	21	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-110	254	1
Jump Shot	3PT Field Goal	Above the Break 3	26	151	212	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-35	3	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	12	58	112	1
Jump Shot	3PT Field Goal	Above the Break 3	26	174	194	0
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	3	-1	33	1
Alley Oop Layup shot	2PT Field Goal	Restricted Area	1	-3	18	0
Tip Layup Shot	2PT Field Goal	Restricted Area	1	-6	8	1
Jump Shot	3PT Field Goal	Above the Break 3	28	-177	222	1
Jump Shot	3PT Field Goal	Above the Break 3	26	169	200	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	-8	11	1
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-14	20	0
Fadeaway Jump Shot	2PT Field Goal	Mid-Range	11	-97	52	0
Driving Finger Roll Layup Shot	2PT Field Goal	In The Paint (Non-RA)	6	14	67	1
Step Back Jump shot	2PT Field Goal	Mid-Range	15	-113	111	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-32	255	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	12	-111	59	1
Step Back Jump shot	2PT Field Goal	Mid-Range	22	-139	174	0
Layup Shot	2PT Field Goal	Restricted Area	2	8	24	0
Tip Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Layup Shot	2PT Field Goal	Restricted Area	2	11	24	1
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	12	14	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	27	124	242	0
Jump Shot	2PT Field Goal	Mid-Range	17	109	131	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-187	189	0
Running Layup Shot	2PT Field Goal	Restricted Area	0	2	8	1
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	7	-11	79	0
Jump Shot	3PT Field Goal	Above the Break 3	26	160	214	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-5	11	1
Turnaround Hook Shot	2PT Field Goal	In The Paint (Non-RA)	9	-19	90	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-62	260	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-107	243	0
Step Back Jump shot	2PT Field Goal	Mid-Range	21	38	208	1
Pullup Jump shot	2PT Field Goal	Mid-Range	19	-3	190	0
Step Back Jump shot	2PT Field Goal	Mid-Range	19	-193	30	0
Pullup Jump shot	2PT Field Goal	In The Paint (Non-RA)	14	-76	127	1
Jump Shot	3PT Field Goal	Above the Break 3	29	-118	271	0
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	17	-53	164	1
Turnaround Fadeaway shot	2PT Field Goal	In The Paint (Non-RA)	12	-9	129	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	1	19	0
Putback Layup Shot	2PT Field Goal	Restricted Area	1	6	14	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-139	222	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-4	35	0
Driving Layup Shot	2PT Field Goal	Restricted Area	2	-15	16	1
Turnaround Fadeaway shot	2PT Field Goal	In The Paint (Non-RA)	12	71	100	1
Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	6	16	0
Cutting Layup Shot	2PT Field Goal	Restricted Area	0	-2	-1	1
Jump Shot	3PT Field Goal	Above the Break 3	28	-2	285	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	-43	252	0
Driving Floating Bank Jump Shot	2PT Field Goal	Mid-Range	10	-101	11	0
Turnaround Jump Shot	2PT Field Goal	Mid-Range	18	-85	159	1
Jump Shot	3PT Field Goal	Left Corner 3	24	-244	-27	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	26	-93	251	1
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	11	10	1
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	-2	18	1
Jump Shot	3PT Field Goal	Above the Break 3	26	113	244	0
Layup Shot	2PT Field Goal	Restricted Area	2	-2	21	1
Turnaround Fadeaway shot	2PT Field Goal	Mid-Range	12	127	25	0
Fadeaway Jump Shot	3PT Field Goal	Right Corner 3	24	234	73	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	17	10	1
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	0	-4	0	1
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-14	14	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	3	-27	21	0
Running Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	7	15	1
Tip Layup Shot	2PT Field Goal	Restricted Area	0	0	-6	1
Layup Shot	2PT Field Goal	Restricted Area	1	-9	8	0
Jump Shot	3PT Field Goal	Above the Break 3	31	105	294	1
Alley Oop Dunk Shot	2PT Field Goal	Restricted Area	2	11	19	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	33	136	306	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	27	-25	272	0
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	-208	146	1
Driving Finger Roll Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	-38	23	1
Jump Shot	2PT Field Goal	In The Paint (Non-RA)	11	52	99	0
Jump Shot	3PT Field Goal	Left Corner 3	23	-230	1	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-117	242	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-40	267	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	24	178	174	0
Jump Shot	3PT Field Goal	Left Corner 3	23	-232	-14	1
Jump Shot	3PT Field Goal	Above the Break 3	25	57	251	1
Step Back Jump shot	3PT Field Goal	Above the Break 3	25	-16	258	1
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	0	3	-5	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-168	189	0
Driving Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	0	12	1
Driving Floating Bank Jump Shot	2PT Field Goal	In The Paint (Non-RA)	4	-44	4	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	26	-52	257	0
Jump Shot	3PT Field Goal	Above the Break 3	26	-198	183	0
Running Finger Roll Layup Shot	2PT Field Goal	Restricted Area	1	16	11	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	1	-3	10	1
Driving Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	35	31	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-13	15	1
Jump Shot	2PT Field Goal	Mid-Range	20	-60	198	1
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	5	58	8	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	28	-102	269	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	24	26	1
Running Layup Shot	2PT Field Goal	Restricted Area	1	-2	11	1
Pullup Jump shot	2PT Field Goal	Mid-Range	21	29	215	0
Jump Shot	3PT Field Goal	Above the Break 3	24	-69	237	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	112	229	1
Jump Shot	3PT Field Goal	Above the Break 3	24	17	247	1
Jump Shot	3PT Field Goal	Above the Break 3	24	96	230	0
Pullup Jump shot	2PT Field Goal	Restricted Area	1	2	17	0
Jump Shot	2PT Field Goal	Mid-Range	22	-192	109	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	24	131	207	0
Pullup Jump shot	3PT Field Goal	Above the Break 3	24	222	113	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-88	244	0
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	8	-51	65	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-210	139	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-11	33	0
Driving Layup Shot	2PT Field Goal	Restricted Area	3	-22	27	0
Running Layup Shot	2PT Field Goal	In The Paint (Non-RA)	9	38	88	1
Jump Shot	3PT Field Goal	Right Corner 3	23	227	41	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	1	0	10	1
Pullup Jump shot	3PT Field Goal	Above the Break 3	25	-117	231	0
Running Layup Shot	2PT Field Goal	Restricted Area	1	-9	7	1
Jump Shot	2PT Field Goal	Mid-Range	21	130	173	1
Step Back Jump shot	2PT Field Goal	Mid-Range	19	93	171	0
Layup Shot	2PT Field Goal	Restricted Area	2	2	29	0
Running Layup Shot	2PT Field Goal	Restricted Area	2	18	20	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	0	0	6	1
Jump Bank Shot	2PT Field Goal	Mid-Range	9	-87	36	0
Alley Oop Layup shot	2PT Field Goal	Restricted Area	1	1	14	1
Layup Shot	2PT Field Goal	Restricted Area	3	25	24	0
Jump Shot	3PT Field Goal	Above the Break 3	25	-116	229	0
Layup Shot	2PT Field Goal	In The Paint (Non-RA)	4	8	46	0
Putback Layup Shot	2PT Field Goal	Restricted Area	1	8	13	1
Driving Floating Jump Shot	2PT Field Goal	In The Paint (Non-RA)	11	57	105	0
Jump Shot	3PT Field Goal	Left Corner 3	22	-222	41	0
Running Layup Shot	2PT Field Goal	Restricted Area	3	-13	33	1
Turnaround Bank Hook Shot	2PT Field Goal	Restricted Area	2	4	25	0
Cutting Dunk Shot	2PT Field Goal	Restricted Area	1	11	8	1
Driving Reverse Layup Shot	2PT Field Goal	Restricted Area	1	2	18	1
Jump Shot	2PT Field Goal	Mid-Range	20	143	152	1
Jump Shot	3PT Field Goal	Right Corner 3	24	227	78	0
Driving Dunk Shot	2PT Field Goal	Restricted Area	2	-24	2	1
Jump Shot	3PT Field Goal	Above the Break 3	27	-117	247	0
Driving Floating Bank Jump Shot	2PT Field Goal	Restricted Area	1	-16	10	1
Pullup Jump shot	2PT Field Goal	Mid-Range	21	-110	183	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-13	3	1
Jump Shot	2PT Field Goal	In The Paint (Non-RA)	5	-6	57	1
Reverse Layup Shot	2PT Field Goal	Restricted Area	0	6	-2	1
Layup Shot	2PT Field Goal	Restricted Area	3	-31	8	0
Fadeaway Jump Shot	2PT Field Goal	In The Paint (Non-RA)	8	79	34	0
Layup Shot	2PT Field Goal	Restricted Area	2	-22	17	1
Driving Layup Shot	2PT Field Goal	Restricted Area	0	3	3	1
Jump Shot	3PT Field Goal	Above the Break 3	26	-89	245	0
Driving Layup Shot	2PT Field Goal	Restricted Area	1	-19	4	1
Alley Oop Dunk Shot	2PT Field Goal	Restricted Area	1	-3	14	1
Jump Shot	3PT Field Goal	Above the Break 3	24	217	114	0
Jump Shot	3PT Field Goal	Above the Break 3	30	-128	272	1
Jump Shot	3PT Field Goal	Above the Break 3	25	-52	252	1
Jump Shot	3PT Field Goal	Above the Break 3	26	57	262	1
Jump Shot	3PT Field Goal	Above the Break 3	25	188	174	0
