Category	Format	Year	year-date	Units	Revenues in millions	Revenues in millions (Adjusted for inflation)
Vinyl	Vinyl Single	1985	1985-01-01	120.7	281	667.6544331
Vinyl	Vinyl Single	1986	1986-01-01	93.9	228.1	532.0744681
Vinyl	Vinyl Single	1987	1987-01-01	82	203.3	457.5270079
Vinyl	Vinyl Single	1988	1988-01-01	65.6	180.4	389.8607168
Vinyl	Vinyl Single	1989	1989-01-01	36.6	116.4	239.9877
Vinyl	Vinyl Single	1990	1990-01-01	27.6	94.4	184.6520337
Vinyl	Vinyl Single	1991	1991-01-01	22	63.9	119.944804
Vinyl	Vinyl Single	1992	1992-01-01	19.8	66.4	120.9951875
Vinyl	Vinyl Single	1993	1993-01-01	15.1	51.2	90.58573287
Vinyl	Vinyl Single	1994	1994-01-01	11.7	47.2	81.42382186
Vinyl	Vinyl Single	1995	1995-01-01	10.2	46.7	78.34108858
Vinyl	Vinyl Single	1996	1996-01-01	10.1	47.5	77.39775335
Vinyl	Vinyl Single	1997	1997-01-01	7.5	35.6	56.70647477
Vinyl	Vinyl Single	1998	1998-01-01	5.4	25.7	40.30910982
Vinyl	Vinyl Single	1999	1999-01-01	5.3	27.9	42.81410744
Vinyl	Vinyl Single	2000	2000-01-01	4.8	26.3	39.04633624
Vinyl	Vinyl Single	2001	2001-01-01	5.5	31.4	45.32823151
Vinyl	Vinyl Single	2002	2002-01-01	4.4	24.9	35.38554364
Vinyl	Vinyl Single	2003	2003-01-01	3.8	21.5	29.87296467
Vinyl	Vinyl Single	2004	2004-01-01	3.5	19.9	26.93263261
Vinyl	Vinyl Single	2005	2005-01-01	2.3	13.2	17.27942857
Vinyl	Vinyl Single	2006	2006-01-01	1.5	9.9	12.55458482
Vinyl	Vinyl Single	2007	2007-01-01	0.6	4	4.933082489
Vinyl	Vinyl Single	2008	2008-01-01	0.4	2.9	3.44354375
Vinyl	Vinyl Single	2009	2009-01-01	0.3	2.5	2.979171425
Vinyl	Vinyl Single	2010	2010-01-01	0.3	2.3	2.696605918
Vinyl	Vinyl Single	2011	2011-01-01	0.4	4.6	5.228182752
Vinyl	Vinyl Single	2012	2012-01-01	0.388573687	4.743055893	5.281477044
Vinyl	Vinyl Single	2013	2013-01-01	0.315817054	2.978937179	3.269213385
Vinyl	Vinyl Single	2014	2014-01-01	0.481198278	5.49935429	5.938887283
Vinyl	Vinyl Single	2015	2015-01-01	0.50786991	5.752954082	6.205390253
Vinyl	Vinyl Single	2016	2016-01-01	0.404330651	4.880679689	5.198931395
Vinyl	Vinyl Single	2017	2017-01-01	0.402959365	6.07838535	6.33967756
Vinyl	Vinyl Single	2018	2018-01-01	0.346165002	5.290337079	5.386196747
Vinyl	Vinyl Single	2019	2019-01-01	0.336120488	6.795945687	6.795945687
