Occupation	Mean wage	category
Production, Planning, and Expediting Clerks	53200	Office and Administrative Support
Shipping, Receiving, and Traffic Clerks	39730	Office and Administrative Support
Weighers, Measurers, Checkers, and Samplers, Recordkeeping	38790	Office and Administrative Support
Executive Secretaries and Executive Administrative Assistants	75230	Office and Administrative Support
Legal Secretaries	57360	Office and Administrative Support
Medical Secretaries	42500	Office and Administrative Support
Secretaries and Administrative Assistants, Except Legal, Medical, and Executive	43520	Office and Administrative Support
Data Entry Keyers	40370	Office and Administrative Support
Word Processors and Typists	44690	Office and Administrative Support
Desktop Publishers	53480	Office and Administrative Support
Insurance Claims and Policy Processing Clerks	49640	Office and Administrative Support
Mail Clerks and Mail Machine Operators, Except Postal Service	36920	Office and Administrative Support
Office Clerks, General	38070	Office and Administrative Support
Office Machine Operators, Except Computer	38180	Office and Administrative Support
Proofreaders and Copy Markers	51880	Office and Administrative Support
Statistical Assistants	59530	Office and Administrative Support
Office and Administrative Support Workers, All Other	30620	Office and Administrative Support
Farming, Fishing, and Forestry	39570	Farming, Fishing, and Forestry
First-Line Supervisors of Farming, Fishing, and Forestry Workers	64390	Farming, Fishing, and Forestry
Agricultural Inspectors	65520	Farming, Fishing, and Forestry
Animal Breeders	46790	Farming, Fishing, and Forestry
Graders and Sorters, Agricultural Products	33370	Farming, Fishing, and Forestry
Agricultural Equipment Operators	41390	Farming, Fishing, and Forestry
Farmworkers and Laborers, Crop, Nursery, and Greenhouse	33650	Farming, Fishing, and Forestry
Farmworkers, Farm, Ranch, and Aquacultural Animals	37840	Farming, Fishing, and Forestry
Forest and Conservation Workers	37010	Farming, Fishing, and Forestry
Logging Equipment Operators	40860	Farming, Fishing, and Forestry
Log Graders and Scalers	41910	Farming, Fishing, and Forestry
Logging Workers, All Other	30630	Farming, Fishing, and Forestry
Construction and Extraction	68390	Construction and Extraction
Supervisors of Construction and Extraction Workers	91980	Construction and Extraction
Boilermakers	88890	Construction and Extraction
Brickmasons and Blockmasons	78010	Construction and Extraction
Stonemasons	56010	Construction and Extraction
Carpenters	67840	Construction and Extraction
Carpet Installers	50240	Construction and Extraction
Floor Layers, Except Carpet, Wood, and Hard Tiles	59040	Construction and Extraction
Floor Sanders and Finishers	35120	Construction and Extraction
Tile and Marble Setters	63680	Construction and Extraction
Cement Masons and Concrete Finishers	70430	Construction and Extraction
Construction Laborers	55640	Construction and Extraction
Paving, Surfacing, and Tamping Equipment Operators	62520	Construction and Extraction
Pile-Driver Operators	106620	Construction and Extraction
Operating Engineers and Other Construction Equipment Operators	86370	Construction and Extraction
Drywall and Ceiling Tile Installers	55490	Construction and Extraction
Tapers	75280	Construction and Extraction
Electricians	81870	Construction and Extraction
Glaziers	67220	Construction and Extraction
Insulation Workers, Floor, Ceiling, and Wall	50740	Construction and Extraction
Insulation Workers, Mechanical	82950	Construction and Extraction
Painters, Construction and Maintenance	54100	Construction and Extraction
Paperhangers	58390	Construction and Extraction
Pipelayers	57280	Construction and Extraction
Plumbers, Pipefitters, and Steamfitters	75110	Construction and Extraction
Plasterers and Stucco Masons	57330	Construction and Extraction
Reinforcing Iron and Rebar Workers	82270	Construction and Extraction
Roofers	69280	Construction and Extraction
Sheet Metal Workers	75040	Construction and Extraction
Structural Iron and Steel Workers	90150	Construction and Extraction
Solar Photovoltaic Installers	52880	Construction and Extraction
Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters	51640	Construction and Extraction
Helpers--Carpenters	35350	Construction and Extraction
Helpers--Electricians	41660	Construction and Extraction
Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons	44060	Construction and Extraction
Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters	39970	Construction and Extraction
Helpers--Roofers	32370	Construction and Extraction
Helpers, Construction Trades, All Other	39060	Construction and Extraction
Construction and Building Inspectors	70370	Construction and Extraction
Elevator Installers and Repairers	86460	Construction and Extraction
Fence Erectors	45640	Construction and Extraction
Hazardous Materials Removal Workers	64180	Construction and Extraction
Highway Maintenance Workers	47650	Construction and Extraction
Rail-Track Laying and Maintenance Equipment Operators	72880	Construction and Extraction
Septic Tank Servicers and Sewer Pipe Cleaners	44610	Construction and Extraction
Miscellaneous Construction and Related Workers	46400	Construction and Extraction
Rotary Drill Operators, Oil and Gas	51200	Construction and Extraction
Service Unit Operators, Oil, Gas, and Mining	64530	Construction and Extraction
Excavating and Loading Machine and Dragline Operators, Surface Mining	71750	Construction and Extraction
Continuous Mining Machine Operators	46420	Construction and Extraction
Rock Splitters, Quarry	34220	Construction and Extraction
Helpers--Extraction Workers	44440	Construction and Extraction
Earth Drillers, Except Oil and Gas; and Explosives Workers, Ordnance Handling Experts, and Blasters	62760	Construction and Extraction
Underground Mining Machine Operators and Extraction Workers, All Other	48710	Construction and Extraction
Installation, Maintenance, and Repair	55700	Installation, Maintenance, and Repair
First-Line Supervisors of Mechanics, Installers, and Repairers	80510	Installation, Maintenance, and Repair
Computer, Automated Teller, and Office Machine Repairers	46300	Installation, Maintenance, and Repair
Radio, Cellular, and Tower Equipment Installers and Repairers	62930	Installation, Maintenance, and Repair
Telecommunications Equipment Installers and Repairers, Except Line Installers	72980	Installation, Maintenance, and Repair
Avionics Technicians	70710	Installation, Maintenance, and Repair
Electric Motor, Power Tool, and Related Repairers	50040	Installation, Maintenance, and Repair
Electrical and Electronics Installers and Repairers, Transportation Equipment	68810	Installation, Maintenance, and Repair
Electrical and Electronics Repairers, Commercial and Industrial Equipment	61190	Installation, Maintenance, and Repair
Electrical and Electronics Repairers, Powerhouse, Substation, and Relay	87580	Installation, Maintenance, and Repair
Electronic Equipment Installers and Repairers, Motor Vehicles	42860	Installation, Maintenance, and Repair
Electronic Home Entertainment Equipment Installers and Repairers	48040	Installation, Maintenance, and Repair
Security and Fire Alarm Systems Installers	57630	Installation, Maintenance, and Repair
Aircraft Mechanics and Service Technicians	72950	Installation, Maintenance, and Repair
Automotive Body and Related Repairers	48740	Installation, Maintenance, and Repair
Automotive Glass Installers and Repairers	35470	Installation, Maintenance, and Repair
Automotive Service Technicians and Mechanics	45650	Installation, Maintenance, and Repair
Bus and Truck Mechanics and Diesel Engine Specialists	57990	Installation, Maintenance, and Repair
Farm Equipment Mechanics and Service Technicians	42560	Installation, Maintenance, and Repair
Mobile Heavy Equipment Mechanics, Except Engines	65420	Installation, Maintenance, and Repair
Rail Car Repairers	72340	Installation, Maintenance, and Repair
Motorboat Mechanics and Service Technicians	42530	Installation, Maintenance, and Repair
Motorcycle Mechanics	41350	Installation, Maintenance, and Repair
Outdoor Power Equipment and Other Small Engine Mechanics	42340	Installation, Maintenance, and Repair
Bicycle Repairers	35060	Installation, Maintenance, and Repair
Recreational Vehicle Service Technicians	39690	Installation, Maintenance, and Repair
Tire Repairers and Changers	31560	Installation, Maintenance, and Repair
Mechanical Door Repairers	45520	Installation, Maintenance, and Repair
Control and Valve Installers and Repairers, Except Mechanical Door	77760	Installation, Maintenance, and Repair
Heating, Air Conditioning, and Refrigeration Mechanics and Installers	60990	Installation, Maintenance, and Repair
Home Appliance Repairers	43410	Installation, Maintenance, and Repair
Industrial Machinery Mechanics	61280	Installation, Maintenance, and Repair
Maintenance Workers, Machinery	55090	Installation, Maintenance, and Repair
Millwrights	72630	Installation, Maintenance, and Repair
Electrical Power-Line Installers and Repairers	82390	Installation, Maintenance, and Repair
Telecommunications Line Installers and Repairers	72540	Installation, Maintenance, and Repair
Camera and Photographic Equipment Repairers	48540	Installation, Maintenance, and Repair
Medical Equipment Repairers	65200	Installation, Maintenance, and Repair
Musical Instrument Repairers and Tuners	42800	Installation, Maintenance, and Repair
Watch Repairers	50170	Installation, Maintenance, and Repair
Precision Instrument and Equipment Repairers, All Other	58630	Installation, Maintenance, and Repair
Maintenance and Repair Workers, General	47500	Installation, Maintenance, and Repair
Coin, Vending, and Amusement Machine Servicers and Repairers	48610	Installation, Maintenance, and Repair
Commercial Divers	88150	Installation, Maintenance, and Repair
Locksmiths and Safe Repairers	53780	Installation, Maintenance, and Repair
Manufactured Building and Mobile Home Installers	35780	Installation, Maintenance, and Repair
Riggers	83720	Installation, Maintenance, and Repair
Signal and Track Switch Repairers	76130	Installation, Maintenance, and Repair
Helpers--Installation, Maintenance, and Repair Workers	39900	Installation, Maintenance, and Repair
Installation, Maintenance, and Repair Workers, All Other	44240	Installation, Maintenance, and Repair
Production	43470	Production
First-Line Supervisors of Production and Operating Workers	70840	Production
Coil Winders, Tapers, and Finishers	36290	Production
Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers?(OES-specific code and title)	36820	Production
Engine and Other Machine Assemblers	49530	Production
Structural Metal Fabricators and Fitters	51640	Production
Fiberglass Laminators and Fabricators	40780	Production
Miscellaneous Assemblers and Fabricators	35780	Production
Bakers	33570	Production
Butchers and Meat Cutters	39290	Production
Meat, Poultry, and Fish Cutters and Trimmers	29560	Production
Slaughterers and Meat Packers	35420	Production
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	32730	Production
Food Batchmakers	32560	Production
Food Cooking Machine Operators and Tenders	36140	Production
Food Processing Workers, All Other	30220	Production
Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	38940	Production
Forging Machine Setters, Operators, and Tenders, Metal and Plastic	46350	Production
Rolling Machine Setters, Operators, and Tenders, Metal and Plastic	46170	Production
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	41660	Production
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	39560	Production
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	40370	Production
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	42040	Production
Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	44780	Production
Machinists	48430	Production
Metal-Refining Furnace Operators and Tenders	45990	Production
Pourers and Casters, Metal	44720	Production
Model Makers, Metal and Plastic	61610	Production
Patternmakers, Metal and Plastic	52930	Production
Foundry Mold and Coremakers	41680	Production
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	34400	Production
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	39880	Production
Tool and Die Makers	57480	Production
Welders, Cutters, Solderers, and Brazers	50330	Production
Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders	46440	Production
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	45110	Production
Layout Workers, Metal and Plastic	49990	Production
Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic	38820	Production
Tool Grinders, Filers, and Sharpeners	44460	Production
Metal Workers and Plastic Workers, All Other	43700	Production
Prepress Technician and Workers	47740	Production
Printing Press Operators	42670	Production
Print Binding and Finishing Workers	36660	Production
Laundry and Dry-Cleaning Workers	29460	Production
Pressers, Textile, Garment, and Related Materials	29990	Production
Sewing Machine Operators	33670	Production
Shoe and Leather Workers and Repairers	28710	Production
Shoe Machine Operators and Tenders	30540	Production
Sewers, Hand	34200	Production
Tailors, Dressmakers, and Custom Sewers	39910	Production
Textile Bleaching and Dyeing Machine Operators and Tenders	28870	Production
Textile Cutting Machine Setters, Operators, and Tenders	35210	Production
Textile Knitting and Weaving Machine Setters, Operators, and Tenders	32450	Production
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders	32340	Production
Fabric and Apparel Patternmakers	76840	Production
Upholsterers	40570	Production
Textile, Apparel, and Furnishings Workers, All Other	39290	Production
Cabinetmakers and Bench Carpenters	46420	Production
Furniture Finishers	40990	Production
Model Makers, Wood	47220	Production
Patternmakers, Wood	70340	Production
Sawing Machine Setters, Operators, and Tenders, Wood	35310	Production
Woodworking Machine Setters, Operators, and Tenders, Except Sawing	34930	Production
Woodworkers, All Other	43570	Production
Nuclear Power Reactor Operators	116260	Production
Power Distributors and Dispatchers	105310	Production
Power Plant Operators	88480	Production
Stationary Engineers and Boiler Operators	81650	Production
Water and Wastewater Treatment Plant and System Operators	63590	Production
Chemical Plant and System Operators	57930	Production
Gas Plant Operators	86550	Production
Petroleum Pump System Operators, Refinery Operators, and Gaugers	52720	Production
Plant and System Operators, All Other	63520	Production
Chemical Equipment Operators and Tenders	50040	Production
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders	44700	Production
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	41240	Production
Grinding and Polishing Workers, Hand	38720	Production
Mixing and Blending Machine Setters, Operators, and Tenders	41110	Production
Cutters and Trimmers, Hand	40670	Production
Cutting and Slicing Machine Setters, Operators, and Tenders	38890	Production
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	44170	Production
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	46430	Production
Inspectors, Testers, Sorters, Samplers, and Weighers	44890	Production
Jewelers and Precious Stone and Metal Workers	56720	Production
Dental Laboratory Technicians	53940	Production
Medical Appliance Technicians	42440	Production
Ophthalmic Laboratory Technicians	38420	Production
Packaging and Filling Machine Operators and Tenders	33860	Production
Painting, Coating, and Decorating Workers	38470	Production
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	42280	Production
Photographic Process Workers and Processing Machine Operators	48760	Production
Computer Numerically Controlled Tool Operators	41180	Production
Computer Numerically Controlled Tool Programmers	58580	Production
Adhesive Bonding Machine Operators and Tenders	37000	Production
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	37710	Production
Cooling and Freezing Equipment Operators and Tenders	38760	Production
Etchers and Engravers	41280	Production
Molders, Shapers, and Casters, Except Metal and Plastic	38410	Production
Paper Goods Machine Setters, Operators, and Tenders	41240	Production
Helpers--Production Workers	34190	Production
Production Workers, All Other	37710	Production
Transportation and Material Moving	44230	Transportation and Material Moving
Aircraft Cargo Handling Supervisors	64930	Transportation and Material Moving
First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors	65250	Transportation and Material Moving
Airline Pilots, Copilots, and Flight Engineers	125030	Transportation and Material Moving
Commercial Pilots	153450	Transportation and Material Moving
Air Traffic Controllers	136040	Transportation and Material Moving
Airfield Operations Specialists	66950	Transportation and Material Moving
Flight Attendants	52270	Transportation and Material Moving
Ambulance Drivers and Attendants, Except Emergency Medical Technicians	35720	Transportation and Material Moving
Driver/Sales Workers	32600	Transportation and Material Moving
Heavy and Tractor-Trailer Truck Drivers	55180	Transportation and Material Moving
Light Truck or Delivery Services Drivers	41320	Transportation and Material Moving
Bus Drivers, Transit and Intercity	64360	Transportation and Material Moving
Passenger Vehicle Drivers, Except Bus Drivers, Transit and Intercity	43140	Transportation and Material Moving
Motor Vehicle Operators, All Other	37360	Transportation and Material Moving
Locomotive Engineers	83270	Transportation and Material Moving
Rail Yard Engineers, Dinkey Operators, and Hostlers	78500	Transportation and Material Moving
Railroad Brake, Signal, and Switch Operators and Locomotive Firers	75600	Transportation and Material Moving
Railroad Conductors and Yardmasters	71800	Transportation and Material Moving
Sailors and Marine Oilers	49820	Transportation and Material Moving
Captains, Mates, and Pilots of Water Vessels	93370	Transportation and Material Moving
Motorboat Operators	71080	Transportation and Material Moving
Ship Engineers	102530	Transportation and Material Moving
Bridge and Lock Tenders	49880	Transportation and Material Moving
Parking Lot Attendants	30070	Transportation and Material Moving
Automotive and Watercraft Service Attendants	29010	Transportation and Material Moving
Traffic Technicians	64010	Transportation and Material Moving
Transportation Attendants, Except Flight Attendants	32830	Transportation and Material Moving
Aircraft Service Attendants and Transportation Workers, All Other	39500	Transportation and Material Moving
Conveyor Operators and Tenders	35380	Transportation and Material Moving
Crane and Tower Operators	128300	Transportation and Material Moving
Hoist and Winch Operators	43420	Transportation and Material Moving
Industrial Truck and Tractor Operators	45490	Transportation and Material Moving
Cleaners of Vehicles and Equipment	36550	Transportation and Material Moving
Laborers and Freight, Stock, and Material Movers, Hand	37620	Transportation and Material Moving
Machine Feeders and Offbearers	35510	Transportation and Material Moving
Packers and Packagers, Hand	31280	Transportation and Material Moving
Stockers and Order Fillers	31930	Transportation and Material Moving
Gas Compressor and Gas Pumping Station Operators	60750	Transportation and Material Moving
Pump Operators, Except Wellhead Pumpers	53900	Transportation and Material Moving
Wellhead Pumpers	44590	Transportation and Material Moving
Refuse and Recyclable Material Collectors	61340	Transportation and Material Moving
Tank Car, Truck, and Ship Loaders	42370	Transportation and Material Moving
Material Moving Workers, All Other	51440	Transportation and Material Moving
