year	state	state_po	state_fips	state_cen	state_ic	office	candidate	party	main parties	writein	candidatevotes	totalvotes	version
1992	Delaware	DE	10	51	11	US President	Clinton, Bill	democrat	democrat	FALSE	126054	289620	20171015
1996	Delaware	DE	10	51	11	US President	Clinton, Bill	democrat	democrat	FALSE	140355	270810	20171015
2000	Delaware	DE	10	51	11	US President	Gore, Al	democrat	democrat	FALSE	180068	327529	20171015
2004	Delaware	DE	10	51	11	US President	Kerry, John	democrat	democrat	FALSE	200152	375190	20171015
2008	Delaware	DE	10	51	11	US President	Obama, Barack H.	democrat	democrat	FALSE	255459	412412	20171015
2012	Delaware	DE	10	51	11	US President	Obama, Barack H.	democrat	democrat	FALSE	242584	413890	20171015
2016	Delaware	DE	10	51	11	US President	Clinton, Hillary	democrat	democrat	FALSE	235603	441590	20171015
1976	Delaware	DE	10	51	11	US President	Ford, Gerald	republican	republican	FALSE	109780	235642	20171015
1980	Delaware	DE	10	51	11	US President	Reagan, Ronald	republican	republican	FALSE	111252	235668	20171015
1984	Delaware	DE	10	51	11	US President	Reagan, Ronald	republican	republican	FALSE	152190	254572	20171015
1988	Delaware	DE	10	51	11	US President	Bush, George H.W.	republican	republican	FALSE	139639	249891	20171015
1992	Delaware	DE	10	51	11	US President	Bush, George H.W.	republican	republican	FALSE	102313	289620	20171015
1996	Delaware	DE	10	51	11	US President	Dole, Robert	republican	republican	FALSE	99062	270810	20171015
2000	Delaware	DE	10	51	11	US President	Bush, George W.	republican	republican	FALSE	137288	327529	20171015
2004	Delaware	DE	10	51	11	US President	Bush, George W.	republican	republican	FALSE	171660	375190	20171015
2008	Delaware	DE	10	51	11	US President	McCain, John	republican	republican	FALSE	152374	412412	20171015
2012	Delaware	DE	10	51	11	US President	Romney, Mitt	republican	republican	FALSE	165484	413890	20171015
2016	Delaware	DE	10	51	11	US President	Trump, Donald J.	republican	republican	FALSE	185127	441590	20171015
1976	Delaware	DE	10	51	11	US President		no party affiliation	other	FALSE	2432	235642	20171015
1976	Delaware	DE	10	51	11	US President	Anderson, Thomas J.	american	other	FALSE	645	235642	20171015
1976	Delaware	DE	10	51	11	US President	Larouche, Lyndon, Jr.	u.s. labor	other	FALSE	135	235642	20171015
1976	Delaware	DE	10	51	11	US President	Bubar, Benjamin \\"Ben\"\""	prohibition	other	FALSE	103	235642	20171015
1976	Delaware	DE	10	51	11	US President		socialist labor	other	FALSE	86	235642	20171015
1980	Delaware	DE	10	51	11	US President	Anderson, John B.	independent	other	FALSE	16288	235668	20171015
1980	Delaware	DE	10	51	11	US President	Clark, Edward \\"Ed\"\""	libertarian	other	FALSE	1974	235668	20171015
1980	Delaware	DE	10	51	11	US President	Greaves, Percy L, Jr.	american	other	FALSE	400	235668	20171015
1984	Delaware	DE	10	51	11	US President	Dennis, Delmar	american	other	FALSE	269	254572	20171015
1984	Delaware	DE	10	51	11	US President	Bergland, David	libertarian	other	FALSE	268	254572	20171015
1984	Delaware	DE	10	51	11	US President	Johnson, Sonia	citizens	other	FALSE	121	254572	20171015
1984	Delaware	DE	10	51	11	US President	Serrette, Dennis	alliance	other	FALSE	68	254572	20171015
1988	Delaware	DE	10	51	11	US President	Paul, Ronald \\"Ron\"\""	libertarian	other	FALSE	1162	249891	20171015
1988	Delaware	DE	10	51	11	US President	Fulani, Lenora	new alliance	other	FALSE	443	249891	20171015
1992	Delaware	DE	10	51	11	US President	Perot, Ross	independent	other	FALSE	59213	289620	20171015
1992	Delaware	DE	10	51	11	US President	Fulani, Lenora	new alliance	other	FALSE	1105	289620	20171015
1992	Delaware	DE	10	51	11	US President	Marrou, Andre	libertarian	other	FALSE	935	289620	20171015
1996	Delaware	DE	10	51	11	US President	Perot, Ross	unaffiliated	other	FALSE	28719	270810	20171015
1996	Delaware	DE	10	51	11	US President	Browne, Harry	libertarian	other	FALSE	2052	270810	20171015
1996	Delaware	DE	10	51	11	US President	Phillips, Howard	u.s. taxpayers party	other	FALSE	348	270810	20171015
1996	Delaware	DE	10	51	11	US President	Hagelin, John	natural law	other	FALSE	274	270810	20171015
2000	Delaware	DE	10	51	11	US President	Nader, Ralph	green	other	FALSE	8307	327529	20171015
2000	Delaware	DE	10	51	11	US President	Buchanan, Patrick \\"Pat\"\""	reform party	other	FALSE	777	327529	20171015
2000	Delaware	DE	10	51	11	US President	Browne, Harry	libertarian	other	FALSE	774	327529	20171015
2000	Delaware	DE	10	51	11	US President	Phillips, Howard	constitution party	other	FALSE	208	327529	20171015
2000	Delaware	DE	10	51	11	US President	Hagelin, John	natural law	other	FALSE	107	327529	20171015
2004	Delaware	DE	10	51	11	US President	Nader, Ralph	independent	other	FALSE	2153	375190	20171015
2004	Delaware	DE	10	51	11	US President	Badnarik, Michael	libertarian	other	FALSE	586	375190	20171015
2004	Delaware	DE	10	51	11	US President	Peroutka, Michael	constitution party	other	FALSE	289	375190	20171015
2004	Delaware	DE	10	51	11	US President	Cobb, David	green	other	FALSE	250	375190	20171015
2004	Delaware	DE	10	51	11	US President	Brown, Walt	natural law	other	FALSE	100	375190	20171015
2008	Delaware	DE	10	51	11	US President	Nader, Ralph	independent	other	FALSE	2401	412412	20171015
2008	Delaware	DE	10	51	11	US President	Barr, Bob	libertarian	other	FALSE	1109	412412	20171015
2008	Delaware	DE	10	51	11	US President	Baldwin, Charles \\"Chuck\"\""	constitution party	other	FALSE	626	412412	20171015
2008	Delaware	DE	10	51	11	US President	McKinney, Cynthia	green	other	FALSE	385	412412	20171015
2008	Delaware	DE	10	51	11	US President	Calero, Roger	socialist workers	other	FALSE	58	412412	20171015
2012	Delaware	DE	10	51	11	US President	Johnson, Gary	libertarian	other	FALSE	3882	413890	20171015
2012	Delaware	DE	10	51	11	US President	Stein, Jill	green	other	FALSE	1940	413890	20171015
2016	Delaware	DE	10	51	11	US President	Johnson, Gary	libertarian	other	FALSE	14757	441590	20171015
2016	Delaware	DE	10	51	11	US President	Stein, Jill	green	other	FALSE	6103	441590	20171015
1976	District of Columbia	DC	11	53	55	US President	Carter, Jimmy	democrat	democrat	FALSE	137818	168830	20171015
1980	District of Columbia	DC	11	53	55	US President	Carter, Jimmy	democrat	democrat	FALSE	130231	173889	20171015
1984	District of Columbia	DC	11	53	55	US President	Mondale, Walter	democrat	democrat	FALSE	180408	211288	20171015
1988	District of Columbia	DC	11	53	55	US President	Dukakis, Michael	democrat	democrat	FALSE	159407	192877	20171015
1992	District of Columbia	DC	11	53	55	US President	Clinton, Bill	democrat	democrat	FALSE	192619	227572	20171015
1996	District of Columbia	DC	11	53	55	US President	Clinton, Bill	democrat	democrat	FALSE	158220	185726	20171015
2000	District of Columbia	DC	11	53	55	US President	Gore, Al	democrat	democrat	FALSE	171923	201894	20171015
2004	District of Columbia	DC	11	53	55	US President	Kerry, John	democrat	democrat	FALSE	202970	227586	20171015
2008	District of Columbia	DC	11	53	55	US President	Obama, Barack H.	democrat	democrat	FALSE	245800	265853	20171015
2012	District of Columbia	DC	11	53	55	US President	Obama, Barack H.	democrat	democrat	FALSE	267070	293764	20171015
2016	District of Columbia	DC	11	53	55	US President	Clinton, Hillary	democrat	democrat	FALSE	282830	312575	20171015
1976	District of Columbia	DC	11	53	55	US President	Ford, Gerald	republican	republican	FALSE	27873	168830	20171015
1980	District of Columbia	DC	11	53	55	US President	Reagan, Ronald	republican	republican	FALSE	23313	173889	20171015
1984	District of Columbia	DC	11	53	55	US President	Reagan, Ronald	republican	republican	FALSE	29009	211288	20171015
1988	District of Columbia	DC	11	53	55	US President	Bush, George H.W.	republican	republican	FALSE	27590	192877	20171015
1992	District of Columbia	DC	11	53	55	US President	Bush, George H.W.	republican	republican	FALSE	20698	227572	20171015
1996	District of Columbia	DC	11	53	55	US President	Dole, Robert	republican	republican	FALSE	17339	185726	20171015
2000	District of Columbia	DC	11	53	55	US President	Bush, George W.	republican	republican	FALSE	18073	201894	20171015
2004	District of Columbia	DC	11	53	55	US President	Bush, George W.	republican	republican	FALSE	21256	227586	20171015
2008	District of Columbia	DC	11	53	55	US President	McCain, John	republican	republican	FALSE	17367	265853	20171015
2012	District of Columbia	DC	11	53	55	US President	Romney, Mitt	republican	republican	FALSE	21381	293764	20171015
2016	District of Columbia	DC	11	53	55	US President	Trump, Donald J.	republican	republican	FALSE	12723	312575	20171015
1976	District of Columbia	DC	11	53	55	US President	Other		other	FALSE	1656	168830	20171015
1976	District of Columbia	DC	11	53	55	US President		independent	other	FALSE	1195	168830	20171015
1976	District of Columbia	DC	11	53	55	US President			other	TRUE	288	168830	20171015
1980	District of Columbia	DC	11	53	55	US President	Anderson, John B.	independent	other	FALSE	16131	173889	20171015
1980	District of Columbia	DC	11	53	55	US President	Commoner, Barry	citizens	other	FALSE	1826	173889	20171015
1980	District of Columbia	DC	11	53	55	US President	Clark, Edward \\"Ed\"\""	libertarian	other	FALSE	1104	173889	20171015
1980	District of Columbia	DC	11	53	55	US President			other	TRUE	690	173889	20171015
1980	District of Columbia	DC	11	53	55	US President	Hall, Gus	communist party use	other	FALSE	369	173889	20171015
1980	District of Columbia	DC	11	53	55	US President	Deberry, Clifton	socialist workers	other	FALSE	173	173889	20171015
1980	District of Columbia	DC	11	53	55	US President	Griswold, Deirdre	workers world	other	FALSE	52	173889	20171015
1984	District of Columbia	DC	11	53	55	US President	Other		other	FALSE	809	211288	20171015
1984	District of Columbia	DC	11	53	55	US President	Bergland, David	libertarian	other	FALSE	279	211288	20171015
1984	District of Columbia	DC	11	53	55	US President	Hall, Gus	communist party use	other	FALSE	257	211288	20171015
1984	District of Columbia	DC	11	53	55	US President	Serrette, Dennis	alliance	other	FALSE	165	211288	20171015
1984	District of Columbia	DC	11	53	55	US President	Larouche, Lyndon, Jr.	independent	other	FALSE	127	211288	20171015
1984	District of Columbia	DC	11	53	55	US President	Mason, Melvin	socialist workers	other	FALSE	127	211288	20171015
1984	District of Columbia	DC	11	53	55	US President	Holmes, Larry	workers world	other	FALSE	107	211288	20171015
1988	District of Columbia	DC	11	53	55	US President		independent	other	FALSE	3064	192877	20171015
1988	District of Columbia	DC	11	53	55	US President			other	TRUE	1553	192877	20171015
1988	District of Columbia	DC	11	53	55	US President	Paul, Ronald \\"Ron\"\""	libertarian	other	FALSE	554	192877	20171015
1988	District of Columbia	DC	11	53	55	US President		third world assembly	other	FALSE	236	192877	20171015
1988	District of Columbia	DC	11	53	55	US President	Winn, Edward	workers league	other	FALSE	208	192877	20171015
1988	District of Columbia	DC	11	53	55	US President	Kenoyer, Willa	socialist	other	FALSE	142	192877	20171015
1988	District of Columbia	DC	11	53	55	US President	Warren, James \\"Mac\"\""	socialist workers	other	FALSE	123	192877	20171015
1992	District of Columbia	DC	11	53	55	US President	Perot, Ross	independent	other	FALSE	9681	227572	20171015
1992	District of Columbia	DC	11	53	55	US President	Fulani, Lenora	new alliance	other	FALSE	1459	227572	20171015
1992	District of Columbia	DC	11	53	55	US President	Daniels, Ronald	independent	other	FALSE	1446	227572	20171015
1992	District of Columbia	DC	11	53	55	US President			other	TRUE	676	227572	20171015
1992	District of Columbia	DC	11	53	55	US President	Marrou, Andre	libertarian	other	FALSE	467	227572	20171015
1992	District of Columbia	DC	11	53	55	US President	Hagelin, John	natural law	other	FALSE	230	227572	20171015
1992	District of Columbia	DC	11	53	55	US President	Other	socialist	other	FALSE	191	227572	20171015
1992	District of Columbia	DC	11	53	55	US President	Other	socialist workers	other	FALSE	105	227572	20171015
1996	District of Columbia	DC	11	53	55	US President	Nader, Ralph	green	other	FALSE	4780	185726	20171015
1996	District of Columbia	DC	11	53	55	US President	Perot, Ross	reform party	other	FALSE	3611	185726	20171015
1996	District of Columbia	DC	11	53	55	US President			other	TRUE	648	185726	20171015
1996	District of Columbia	DC	11	53	55	US President	Browne, Harry	libertarian	other	FALSE	588	185726	20171015
1996	District of Columbia	DC	11	53	55	US President	Hagelin, John	natural law	other	FALSE	283	185726	20171015
1996	District of Columbia	DC	11	53	55	US President	Harris, James	socialist workers	other	FALSE	257	185726	20171015
2000	District of Columbia	DC	11	53	55	US President	Nader, Ralph	green	other	FALSE	10576	201894	20171015
2000	District of Columbia	DC	11	53	55	US President	Browne, Harry	libertarian	other	FALSE	669	201894	20171015
2000	District of Columbia	DC	11	53	55	US President			other	TRUE	539	201894	20171015
2000	District of Columbia	DC	11	53	55	US President	Harris, James	socialist workers	other	FALSE	114	201894	20171015
2004	District of Columbia	DC	11	53	55	US President	Nader, Ralph	independent	other	FALSE	1485	227586	20171015
2004	District of Columbia	DC	11	53	55	US President	Cobb, David	d.c. statehood green	other	FALSE	737	227586	20171015
2004	District of Columbia	DC	11	53	55	US President	Others		other	TRUE	506	227586	20171015
2004	District of Columbia	DC	11	53	55	US President	Badnarik, Michael	libertarian	other	FALSE	502	227586	20171015
2004	District of Columbia	DC	11	53	55	US President	Calero, Roger	socialist workers	other	FALSE	130	227586	20171015
2008	District of Columbia	DC	11	53	55	US President			other	TRUE	1138	265853	20171015
2008	District of Columbia	DC	11	53	55	US President	Nader, Ralph	independent	other	FALSE	958	265853	20171015
2008	District of Columbia	DC	11	53	55	US President	McKinney, Cynthia	green	other	FALSE	590	265853	20171015
2012	District of Columbia	DC	11	53	55	US President	Stein, Jill	d.c. statehood green	other	FALSE	2458	293764	20171015
2012	District of Columbia	DC	11	53	55	US President	Johnson, Gary	libertarian	other	FALSE	2083	293764	20171015
2012	District of Columbia	DC	11	53	55	US President			other	TRUE	772	293764	20171015
2016	District of Columbia	DC	11	53	55	US President			other	TRUE	6551	312575	20171015
2016	District of Columbia	DC	11	53	55	US President	Johnson, Gary	libertarian	other	FALSE	4906	312575	20171015
2016	District of Columbia	DC	11	53	55	US President	Stein, Jill	green	other	FALSE	4258	312575	20171015
2016	District of Columbia	DC	11	53	55	US President	Blank Vote		other	FALSE	1064	312575	20171015
2016	District of Columbia	DC	11	53	55	US President	Over Vote		other	FALSE	243	312575	20171015
1976	Florida	FL	12	59	43	US President	Carter, Jimmy	democrat	democrat	FALSE	1636000	3150631	20171015
1980	Florida	FL	12	59	43	US President	Carter, Jimmy	democrat	democrat	FALSE	1419475	3686927	20171015
1984	Florida	FL	12	59	43	US President	Mondale, Walter	democrat	democrat	FALSE	1448816	4180051	20171015
1988	Florida	FL	12	59	43	US President	Dukakis, Michael	democrat	democrat	FALSE	1656701	4302313	20171015
1992	Florida	FL	12	59	43	US President	Clinton, Bill	democrat	democrat	FALSE	2071698	5313392	20171015
1996	Florida	FL	12	59	43	US President	Clinton, Bill	democrat	democrat	FALSE	2546870	5303154	20171015
2000	Florida	FL	12	59	43	US President	Gore, Al	democrat	democrat	FALSE	2912253	5963110	20171015
2004	Florida	FL	12	59	43	US President	Kerry, John	democrat	democrat	FALSE	3583544	7609810	20171015
2008	Florida	FL	12	59	43	US President	Obama, Barack H.	democrat	democrat	FALSE	4282074	8390744	20171015
2012	Florida	FL	12	59	43	US President	Obama, Barack H.	democrat	democrat	FALSE	4237756	8474179	20171015
2016	Florida	FL	12	59	43	US President	Clinton, Hillary	democrat	democrat	FALSE	4504975	9420039	20171015
1976	Florida	FL	12	59	43	US President	Ford, Gerald	republican	republican	FALSE	1469531	3150631	20171015
1980	Florida	FL	12	59	43	US President	Reagan, Ronald	republican	republican	FALSE	2046951	3686927	20171015
1984	Florida	FL	12	59	43	US President	Reagan, Ronald	republican	republican	FALSE	2730350	4180051	20171015
1988	Florida	FL	12	59	43	US President	Bush, George H.W.	republican	republican	FALSE	2618885	4302313	20171015
1992	Florida	FL	12	59	43	US President	Bush, George H.W.	republican	republican	FALSE	2173310	5313392	20171015
1996	Florida	FL	12	59	43	US President	Dole, Robert	republican	republican	FALSE	2244536	5303154	20171015
2000	Florida	FL	12	59	43	US President	Bush, George W.	republican	republican	FALSE	2912790	5963110	20171015
2004	Florida	FL	12	59	43	US President	Bush, George W.	republican	republican	FALSE	3964522	7609810	20171015
2008	Florida	FL	12	59	43	US President	McCain, John	republican	republican	FALSE	4045624	8390744	20171015
2012	Florida	FL	12	59	43	US President	Romney, Mitt	republican	republican	FALSE	4163447	8474179	20171015
2016	Florida	FL	12	59	43	US President	Trump, Donald J.	republican	republican	FALSE	4617886	9420039	20171015
1976	Florida	FL	12	59	43	US President	McCarthy, Eugene \\"Gene\"\""	independent	other	FALSE	23643	3150631	20171015
1976	Florida	FL	12	59	43	US President	Anderson, Thomas J.	american	other	FALSE	21325	3150631	20171015
1976	Florida	FL	12	59	43	US President			other	TRUE	132	3150631	20171015
1980	Florida	FL	12	59	43	US President	Anderson, John B.	independent	other	FALSE	189692	3686927	20171015
1980	Florida	FL	12	59	43	US President	Clark, Edward \\"Ed\"\""	libertarian	other	FALSE	30524	3686927	20171015
1980	Florida	FL	12	59	43	US President			other	TRUE	285	3686927	20171015
1984	Florida	FL	12	59	43	US President	Other		other	FALSE	885	4180051	20171015
1988	Florida	FL	12	59	43	US President	Paul, Ronald \\"Ron\"\""	libertarian	other	FALSE	19796	4302313	20171015
1988	Florida	FL	12	59	43	US President	Fulani, Lenora	new alliance	other	FALSE	6655	4302313	20171015
1988	Florida	FL	12	59	43	US President			other	TRUE	276	4302313	20171015
1992	Florida	FL	12	59	43	US President	Perot, Ross	independent	other	FALSE	1053067	5313392	20171015
1992	Florida	FL	12	59	43	US President	Marrou, Andre	libertarian	other	FALSE	15079	5313392	20171015
1992	Florida	FL	12	59	43	US President			other	TRUE	238	5313392	20171015
1996	Florida	FL	12	59	43	US President	Perot, Ross	reform party	other	FALSE	483870	5303154	20171015
1996	Florida	FL	12	59	43	US President	Browne, Harry	libertarian	other	FALSE	23326	5303154	20171015
1996	Florida	FL	12	59	43	US President			other	TRUE	4552	5303154	20171015
2000	Florida	FL	12	59	43	US President	Nader, Ralph	green	other	FALSE	97488	5963110	20171015
2000	Florida	FL	12	59	43	US President	Buchanan, Patrick \\"Pat\"\""	reform party	other	FALSE	17484	5963110	20171015
2000	Florida	FL	12	59	43	US President	Browne, Harry	libertarian	other	FALSE	16415	5963110	20171015
2000	Florida	FL	12	59	43	US President	Hagelin, John	natural law	other	FALSE	2281	5963110	20171015
2000	Florida	FL	12	59	43	US President	Moorehead, Monica	workers world	other	FALSE	1804	5963110	20171015
2000	Florida	FL	12	59	43	US President	Phillips, Howard	constitution party	other	FALSE	1371	5963110	20171015
2000	Florida	FL	12	59	43	US President	McReynolds, David	socialist	other	FALSE	622	5963110	20171015
2000	Florida	FL	12	59	43	US President	Harris, James	socialist workers	other	FALSE	562	5963110	20171015
2000	Florida	FL	12	59	43	US President			other	TRUE	40	5963110	20171015
2004	Florida	FL	12	59	43	US President	Nader, Ralph	reform party	other	FALSE	32971	7609810	20171015
2004	Florida	FL	12	59	43	US President	Badnarik, Michael	libertarian	other	FALSE	11996	7609810	20171015
2004	Florida	FL	12	59	43	US President	Peroutka, Michael	constitution party of florida	other	FALSE	6626	7609810	20171015
2004	Florida	FL	12	59	43	US President	Cobb, David	green	other	FALSE	3917	7609810	20171015
2004	Florida	FL	12	59	43	US President	Brown, Walt	socialist party of florida	other	FALSE	3502	7609810	20171015
2004	Florida	FL	12	59	43	US President	Calero, Roger	socialist workers	other	FALSE	2732	7609810	20171015
2008	Florida	FL	12	59	43	US President	Nader, Ralph	ecology party of florida	other	FALSE	28124	8390744	20171015
2008	Florida	FL	12	59	43	US President	Barr, Bob	libertarian	other	FALSE	17218	8390744	20171015
2008	Florida	FL	12	59	43	US President	Baldwin, Charles \\"Chuck\"\""	constitution party	other	FALSE	7915	8390744	20171015
2008	Florida	FL	12	59	43	US President	McKinney, Cynthia	green	other	FALSE	2887	8390744	20171015
2008	Florida	FL	12	59	43	US President	Keyes, Alan	america's independent party	other	FALSE	2550	8390744	20171015
2008	Florida	FL	12	59	43	US President	La Riva, Gloria Estella	socialism and liberation party	other	FALSE	1516	8390744	20171015
2008	Florida	FL	12	59	43	US President	Jay, Charles	boston tea party	other	FALSE	795	8390744	20171015
2008	Florida	FL	12	59	43	US President	Calero, Roger	socialist workers	other	FALSE	533	8390744	20171015
2008	Florida	FL	12	59	43	US President	Stevens, Thomas R.	objectivist party	other	FALSE	419	8390744	20171015
2008	Florida	FL	12	59	43	US President	Moore, Brian	socialist	other	FALSE	405	8390744	20171015
2008	Florida	FL	12	59	43	US President			other	TRUE	391	8390744	20171015
2008	Florida	FL	12	59	43	US President	Amondson, Gene	prohibition	other	FALSE	293	8390744	20171015
2012	Florida	FL	12	59	43	US President	Johnson, Gary	libertarian	other	FALSE	44726	8474179	20171015
2012	Florida	FL	12	59	43	US President	Stein, Jill	green	other	FALSE	8947	8474179	20171015
2012	Florida	FL	12	59	43	US President	Barr, Roseanne	peace & freedom	other	FALSE	8154	8474179	20171015
2012	Florida	FL	12	59	43	US President	Stevens, Thomas Robert \\"Tom\"\""	objectivist party	other	FALSE	3856	8474179	20171015
2012	Florida	FL	12	59	43	US President	Goode, Virgil Hamlin, Jr.	constitution party	other	FALSE	2607	8474179	20171015
2012	Florida	FL	12	59	43	US President	Anderson, Ross Carl \\"Rocky\"\""	justice	other	FALSE	1754	8474179	20171015
2012	Florida	FL	12	59	43	US President	Hoefling, Thomas Conrad \\"Tom\"\""	american independent	other	FALSE	946	8474179	20171015
2012	Florida	FL	12	59	43	US President	Barnett, Andre	reform party	other	FALSE	820	8474179	20171015
2012	Florida	FL	12	59	43	US President	Alexander, Stewart	socialist	other	FALSE	799	8474179	20171015
2012	Florida	FL	12	59	43	US President	Lindsay, Peta	socialism and liberation party	other	FALSE	322	8474179	20171015
2012	Florida	FL	12	59	43	US President			other	TRUE	45	8474179	20171015
2016	Florida	FL	12	59	43	US President	Johnson, Gary	libertarian	other	FALSE	207043	9420039	20171015
2016	Florida	FL	12	59	43	US President	Stein, Jill	green	other	FALSE	64399	9420039	20171015
2016	Florida	FL	12	59	43	US President	Castle, Darrell L.	constitution party	other	FALSE	16475	9420039	20171015
2016	Florida	FL	12	59	43	US President	De La Fuente, Roque \\"Rocky\"\""	reform party	other	FALSE	9108	9420039	20171015
2016	Florida	FL	12	59	43	US President			other	TRUE	153	9420039	20171015
1976	Georgia	GA	13	58	44	US President	Carter, Jimmy	democrat	democrat	FALSE	979409	1463152	20171015
1980	Georgia	GA	13	58	44	US President	Carter, Jimmy	democrat	democrat	FALSE	890955	1596805	20171015
1984	Georgia	GA	13	58	44	US President	Mondale, Walter	democrat	democrat	FALSE	706628	1776103	20171015
1988	Georgia	GA	13	58	44	US President	Dukakis, Michael	democrat	democrat	FALSE	714792	1809672	20171015
1992	Georgia	GA	13	58	44	US President	Clinton, Bill	democrat	democrat	FALSE	1008966	2321133	20171015
1996	Georgia	GA	13	58	44	US President	Clinton, Bill	democrat	democrat	FALSE	1053849	2298899	20171015
2000	Georgia	GA	13	58	44	US President	Gore, Al	democrat	democrat	FALSE	1116230	2583208	20171015
2004	Georgia	GA	13	58	44	US President	Kerry, John	democrat	democrat	FALSE	1366149	3301875	20171015
2008	Georgia	GA	13	58	44	US President	Obama, Barack H.	democrat	democrat	FALSE	1844123	3924486	20171015
2012	Georgia	GA	13	58	44	US President	Obama, Barack H.	democrat	democrat	FALSE	1773827	3897839	20171015
2016	Georgia	GA	13	58	44	US President	Clinton, Hillary	democrat	democrat	FALSE	1877963	4114732	20171015
1976	Georgia	GA	13	58	44	US President	Ford, Gerald	republican	republican	FALSE	483743	1463152	20171015
1980	Georgia	GA	13	58	44	US President	Reagan, Ronald	republican	republican	FALSE	654168	1596805	20171015
1984	Georgia	GA	13	58	44	US President	Reagan, Ronald	republican	republican	FALSE	1068722	1776103	20171015
1988	Georgia	GA	13	58	44	US President	Bush, George H.W.	republican	republican	FALSE	1081331	1809672	20171015
1992	Georgia	GA	13	58	44	US President	Bush, George H.W.	republican	republican	FALSE	995252	2321133	20171015
1996	Georgia	GA	13	58	44	US President	Dole, Robert	republican	republican	FALSE	1080843	2298899	20171015
2000	Georgia	GA	13	58	44	US President	Bush, George W.	republican	republican	FALSE	1419720	2583208	20171015
2004	Georgia	GA	13	58	44	US President	Bush, George W.	republican	republican	FALSE	1914254	3301875	20171015
2008	Georgia	GA	13	58	44	US President	McCain, John	republican	republican	FALSE	2048759	3924486	20171015
2012	Georgia	GA	13	58	44	US President	Romney, Mitt	republican	republican	FALSE	2078688	3897839	20171015
2016	Georgia	GA	13	58	44	US President	Trump, Donald J.	republican	republican	FALSE	2089104	4114732	20171015
1980	Georgia	GA	13	58	44	US President	Anderson, John B.	independent	other	FALSE	36055	1596805	20171015
1980	Georgia	GA	13	58	44	US President	Clark, Edward \\"Ed\"\""	libertarian	other	FALSE	15627	1596805	20171015
1984	Georgia	GA	13	58	44	US President	Other		other	FALSE	753	1776103	20171015
1988	Georgia	GA	13	58	44	US President	Paul, Ronald \\"Ron\"\""	libertarian	other	FALSE	8435	1809672	20171015
1988	Georgia	GA	13	58	44	US President	Fulani, Lenora	new alliance	other	FALSE	5099	1809672	20171015
1988	Georgia	GA	13	58	44	US President			other	TRUE	15	1809672	20171015
1992	Georgia	GA	13	58	44	US President	Perot, Ross	independent	other	FALSE	309657	2321133	20171015
1992	Georgia	GA	13	58	44	US President	Marrou, Andre	libertarian	other	FALSE	7110	2321133	20171015
1992	Georgia	GA	13	58	44	US President			other	TRUE	148	2321133	20171015
1996	Georgia	GA	13	58	44	US President	Perot, Ross	reform party	other	FALSE	146337	2298899	20171015
1996	Georgia	GA	13	58	44	US President	Browne, Harry	libertarian	other	FALSE	17870	2298899	20171015
2000	Georgia	GA	13	58	44	US President	Browne, Harry	libertarian	other	FALSE	36332	2583208	20171015
2000	Georgia	GA	13	58	44	US President	Buchanan, Patrick \\"Pat\"\""	independent	other	FALSE	10926	2583208	20171015
2004	Georgia	GA	13	58	44	US President	Badnarik, Michael	libertarian	other	FALSE	18387	3301875	20171015
2004	Georgia	GA	13	58	44	US President	Other		other	TRUE	3085	3301875	20171015
2008	Georgia	GA	13	58	44	US President	Barr, Bob	libertarian	other	FALSE	28731	3924486	20171015
2008	Georgia	GA	13	58	44	US President			other	TRUE	1715	3924486	20171015
2008	Georgia	GA	13	58	44	US President		independent	other	TRUE	1158	3924486	20171015
2012	Georgia	GA	13	58	44	US President	Johnson, Gary	libertarian	other	FALSE	45324	3897839	20171015
2016	Georgia	GA	13	58	44	US President	Johnson, Gary	libertarian	other	FALSE	125306	4114732	20171015
2016	Georgia	GA	13	58	44	US President			other	TRUE	22359	4114732	20171015
1976	Hawaii	HI	15	95	82	US President	Carter, Jimmy	democrat	democrat	FALSE	147375	291301	20171015
1980	Hawaii	HI	15	95	82	US President	Carter, Jimmy	democrat	democrat	FALSE	135879	303287	20171015
1984	Hawaii	HI	15	95	82	US President	Mondale, Walter	democrat	democrat	FALSE	147154	335846	20171015
1988	Hawaii	HI	15	95	82	US President	Dukakis, Michael	democrat	democrat	FALSE	192364	354461	20171015
1992	Hawaii	HI	15	95	82	US President	Clinton, Bill	democrat	democrat	FALSE	179310	372842	20171015
1996	Hawaii	HI	15	95	82	US President	Clinton, Bill	democrat	democrat	FALSE	205012	360120	20171015
2000	Hawaii	HI	15	95	82	US President	Gore, Al	democrat	democrat	FALSE	205286	367951	20171015
2004	Hawaii	HI	15	95	82	US President	Kerry, John	democrat	democrat	FALSE	231708	429013	20171015
2008	Hawaii	HI	15	95	82	US President	Obama, Barack H.	democrat	democrat	FALSE	325871	456064	20171015
2012	Hawaii	HI	15	95	82	US President	Obama, Barack H.	democrat	democrat	FALSE	306658	437159	20171015
2016	Hawaii	HI	15	95	82	US President	Clinton, Hillary	democrat	democrat	FALSE	266891	437664	20171015
1976	Hawaii	HI	15	95	82	US President	Ford, Gerald	republican	republican	FALSE	140003	291301	20171015
1980	Hawaii	HI	15	95	82	US President	Reagan, Ronald	republican	republican	FALSE	130112	303287	20171015
